symbol,security_name,listing_exchange,etf,financial_status,zip,sector,fullTimeEmployees,city,state,country,industry,twoHundredDayAverage,trailingAnnualDividendYield,averageDailyVolume10Day,regularMarketPreviousClose,open,averageVolume10days,dividendRate,regularMarketVolume,marketCap,averageVolume,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiveYearAvgDividendYield,dividendYield,bidSize,dayHigh,enterpriseToRevenue,forwardEps,revenueQuarterlyGrowth,bookValue,sharesShort,shortRatio,floatShares,enterpriseValue,regularMarketPrice,latest_dividend
MOMO,Momo Inc. - American Depositary Shares,Q,N,N,100102,Communication Services,2350.0,Beijing,,China,Internet Content & Information,29.318676,,4265371,21.12,20.19,4265371,,4349821,4290995200.0,3972467,19.7,20.36,40.87,6.7409835,,,800.0,20.6905,,3.05,,7.188,5772954.0,1.69,145420208.0,4693801984.0,20.19,0.76
MOO,VanEck Vectors Agribusiness ETF,P,Y,,,,,,,,,60.732353,,30985,58.57,58.97,30985,,10642,,58840,58.7449,59.16,69.4,,,,1000.0,59.165,,,,,,,,,58.97,0.909
MORN,"Morningstar, Inc. - Common Stock",Q,N,N,60602,Financial Services,6896.0,Chicago,IL,United States,Financial Data & Stock Exchanges,144.82758,0.008000551,86228,144.99,147.77,86228,1.2,26865,6381735424.0,124364,144.87,148.43,166.59,52.510567,0.93,0.0085,900.0,150.73,5.207,2.84,,24.132,334497.0,2.6,21970845.0,6478051840.0,147.77,0.3
MORT,VanEck Vectors Mortgage REIT Income ETF,P,Y,,,,,,,,,19.05456,,166242,12.41,12.45,166242,,22948,,261258,12.3,12.39,25.94,,,,1100.0,12.4898,,,,,,,,,12.45,0.368
MOS,Mosaic Company (The) Common Stock,N,N,,33602,Basic Materials,12600.0,Tampa,FL,United States,Agricultural Inputs,16.02375,0.015455951,4799671,12.94,13.13,4799671,0.2,1167710,4733959680.0,6184324,12.355,12.41,25.71,12.126214,2.36,0.0155,1200.0,13.15,1.065,1.03,,22.126,11230801.0,2.17,343703362.0,9379434496.0,13.13,0.05
MOTI,VanEck Vectors Morningstar International Moat ETF,Z,Y,,,,,,,,,28.862692,,10228,26.96,27.19,10228,,4317,,20574,27.0299,27.5,33.21,,,,1000.0,27.3054,,,,,,,,,27.19,1.25
MOV,Movado Group Inc. Common Stock,N,N,,07652-3556,Consumer Cyclical,1145.0,Paramus,NJ,United States,Luxury Goods,15.719265,0.07373272,233571,10.85,10.98,233571,,46892,246683776.0,309650,10.42,10.6,29.8,9.355877,2.35,,2200.0,11.0,0.274,1.14,,22.873,1992933.0,5.86,15983131.0,192077504.0,10.98,0.2
MPA,Blackrock MuniYield Pennsylvania Quality Fund Common Stock,N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,13.819264,0.04416855,25185,13.29,13.32,25185,0.55,8577,177810128.0,38298,13.25,13.34,14.95,,5.2,0.0417,1400.0,13.34,23.409,,,16.439,21998.0,0.58,,311986656.0,13.32,0.046
MPB,Mid Penn Bancorp - Common Stock,Q,N,N,17061,Financial Services,418.0,Millersburg,PA,United States,Banks—Regional,23.190882,0.03490063,23228,20.63,21.05,23228,0.72,3678,174013616.0,17432,20.51,20.6,29.88,10.967915,2.35,0.036,900.0,21.05,1.287,1.87,,28.23,34955.0,2.18,7799643.0,105742816.0,21.05,0.18
MPC,Marathon Petroleum Corporation Common Stock,N,N,,45840,Energy,60910.0,Findlay,OH,United States,Oil & Gas Refining & Marketing,45.00375,0.060688898,11918957,36.58,36.7,11918957,2.32,2332541,23277197312.0,12431272,35.3,35.56,69.65,14.20504,3.01,0.063,900.0,36.7,0.513,2.52,,37.058,19877453.0,1.67,646339824.0,62084116480.0,36.7,0.58
MPLX,MPLX LP Common Units Representing Limited Partner Interests,N,N,,45840-3229,Energy,,Findlay,OH,United States,Oil & Gas Midstream,20.243896,0.14263241,3226428,19.07,18.98,3226428,2.75,962483,20007538688.0,5775858,18.53,18.78,32.65,8.669724,7.03,0.14050001,1200.0,18.96,4.744,2.18,,11.816,19419617.0,3.91,390529451.0,41567457280.0,18.98,0.688
MPW,"Medical Properties Trust, Inc. common stock",N,N,,35242,Real Estate,86.0,Birmingham,AL,United States,REIT—Healthcare Facilities,19.625294,0.05624662,3994271,18.49,18.73,3994271,1.08,908511,9716025344.0,5608300,18.3,18.32,24.29,15.853448,6.52,0.0584,800.0,18.79,16.906,1.16,,13.367,14526590.0,2.82,521879261.0,16640148480.0,18.73,0.27
MPWR,"Monolithic Power Systems, Inc. - Common Stock",Q,N,N,98033,Technology,2002.0,Kirkland,WA,United States,Semiconductors,175.71648,0.0081045,314742,209.76,210.86,314742,2.0,42089,9369897984.0,415395,207.4703,210.12,219.58,39.891426,0.97,0.0098,800.0,210.92,13.743,5.25,,18.186,1054231.0,2.87,41973726.0,8965179392.0,210.86,0.5
MPX,Marine Products Corporation Common Stock,N,N,,30329,Consumer Cyclical,673.0,Atlanta,GA,United States,Recreational Vehicles,12.269191,0.038664322,53642,11.38,11.56,53642,0.32,18252,401215232.0,35796,11.47,11.96,18.43,22.71154,2.45,0.028099999,1100.0,11.94,1.157,0.52,,2.266,309828.0,9.37,7110100.0,310293472.0,11.56,0.08
MQT,"Blackrock MuniYield Quality Fund II, Inc. Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,12.681618,0.0455655,26100,12.29,12.35,26100,0.53,3908,278365728.0,86322,12.2816,12.34,13.7,,5.48,0.0433,800.0,12.35,23.243,,,14.182,4876.0,0.07,,482498368.0,12.35,0.044
MQY,"Blackrock MuniYield Quality Fund, Inc. Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,14.752353,0.045833338,75057,14.4,14.46,75057,0.64,32130,443637728.0,134466,14.4207,14.45,15.82,,5.51,0.044299997,1100.0,14.46,23.475,,,16.154,11944.0,0.08,,751879808.0,14.46,0.053
MRCC,Monroe Capital Corporation - Common Stock,Q,N,N,60606-6710,Financial Services,,Chicago,IL,United States,Mortgage Finance,9.502022,0.18324608,154100,7.64,7.68,154100,1.0,42536,155992304.0,249620,7.545,7.64,12.095,5.780303,10.84,0.13949999,800.0,7.68,8.318,1.32,,10.044,391842.0,1.8,,557602368.0,7.68,0.35
MRCY,Mercury Systems Inc - Common Stock,Q,N,N,01810,Industrials,1884.0,Andover,MA,United States,Aerospace & Defense,76.237724,,346257,88.34,90.32,346257,,105634,4973025792.0,428461,89.075,89.74,96.29,37.74051,,,800.0,90.32,6.489,2.37,,24.709,1894252.0,5.53,54586279.0,4906712064.0,90.32,0.6175
MRGR,ProShares Merger ETF,Z,Y,,,,,,,,,37.924633,,3200,37.7629,37.787,3200,,175,,3138,37.787,37.81,39.02,,,,1300.0,37.787,,,,,,,,,37.787,0.216
MRLN,Marlin Business Services Corp. - Common Stock,Q,N,N,08054,Financial Services,339.0,Mount Laurel,NJ,United States,Credit Services,15.935221,0.074369185,60885,7.53,7.67,60885,0.56,8583,90203648.0,66622,7.52,7.64,25.44,2.8854964,2.71,0.081199996,1200.0,7.79,-0.57,2.62,,16.038,120472.0,1.54,7578181.0,-49159584.0,7.67,0.14
MRO,Marathon Oil Corporation Common Stock,N,N,,77056-2723,Energy,2000.0,Houston,TX,United States,Oil & Gas E&P,8.859486,0.024390245,32869585,6.15,6.11,32869585,,15132783,4647034880.0,46574843,5.86,5.88,14.7,-6.322581,2.19,,800.0,6.11,1.919,-0.93,,15.118,73097719.0,1.33,787704423.0,9442006016.0,6.11,0.05
MRTN,"Marten Transport, Ltd. - Common Stock",Q,N,N,54755,Industrials,4087.0,Mondovi,WI,United States,Trucking,21.448162,0.004990403,259671,26.05,26.27,259671,0.16,71899,1408809984.0,291817,25.21,25.78,26.52,22.330435,0.49,0.0066000004,800.0,26.52,1.536,1.15,,11.112,1002772.0,3.47,39070335.0,1325562880.0,26.27,0.04
MRVL,Marvell Technology Group Ltd. - Common Stock,Q,N,N,HM 12,Technology,5633.0,Hamilton,,Bermuda,Semiconductors,25.137941,0.007817589,10901357,30.7,30.53,10901357,0.24,4783993,20387010560.0,10600467,30.49,30.9,32.0,22.278986,1.54,0.0078,1100.0,31.0711,6.943,1.38,,13.08,22686285.0,2.59,655646756.0,18740094976.0,30.53,0.06
MSA,MSA Safety Incorporated Common Stock,N,N,,16066-5207,Industrials,5000.0,Cranberry Township,PA,United States,Security & Protection Services,120.94338,0.013458302,229014,124.83,126.16,229014,1.72,26394,4836109824.0,298983,123.75,124.58,142.34,25.82054,1.9,0.0143,1000.0,125.454,3.52,4.82,,18.252,2098978.0,8.36,36208644.0,4988661760.0,126.16,0.43
MSB,Mesabi Trust Common Stock,N,N,,10005,Basic Materials,,New York,NY,United States,Steel,18.61794,0.14385776,123185,18.56,18.8,123185,2.24,26010,244163216.0,102509,18.2417,18.59,31.5,-0.9384771,10.14,0.1308,1400.0,18.77,5.175,-19.83,,0.902,61945.0,0.58,13109908.0,165549216.0,18.8,0.56
MSBF,MSB Financial Corp. - Common Stock,Q,N,N,07946,Financial Services,,Millington,NJ,United States,Banks—Regional,14.612794,,4771,13.0,12.15,4771,,2,67300128.0,4059,12.98,14.29,18.51,,,,1000.0,12.98,7.289,,,13.156,8375.0,2.8,3268669.0,134533568.0,12.15,0.22
MSBI,"Midland States Bancorp, Inc. - Common Stock",Q,N,N,62401,Financial Services,1027.0,Effingham,IL,United States,Banks—Regional,22.82044,0.060048282,160614,16.57,16.85,160614,1.07,18757,380993248.0,153117,16.25,16.36,29.5,9.832335,,0.074099995,1400.0,16.85,3.238,1.67,,26.994,643646.0,4.27,19290059.0,789836544.0,16.85,0.268
MSCI,MSCI Inc Common Stock,N,N,,10007,Financial Services,3459.0,New York,NY,United States,Financial Data & Stock Exchanges,287.46735,0.008312973,539742,315.17,317.11,539742,2.72,349565,27221686272.0,822503,313.62,325.66,356.66,41.748077,1.05,0.0086,2200.0,327.165,18.82,7.8,,-4.233,1211933.0,2.2,80963270.0,30172428288.0,317.11,0.68
MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc. Common Stock",N,N,,10036,Financial Services,,New York,NY,United States,Asset Management,8.891397,0.061465718,78328,8.46,8.45,78328,0.48,24914,171961824.0,161533,8.41,8.45,10.02,,6.29,0.056700002,800.0,8.45,12.74,,,10.55,54631.0,0.42,,166932896.0,8.45,0.12
MSEX,Middlesex Water Company - Common Stock,Q,N,N,08830,Utilities,352.0,Iselin,NJ,United States,Utilities—Regulated Water,62.334045,0.014927842,63028,66.52,67.3,63028,1.02,12134,1197067904.0,81491,66.52,68.86,69.92,31.342464,2.13,0.015700001,800.0,68.87,9.961,2.19,,18.774,290158.0,4.13,16819273.0,1351393280.0,67.3,0.256
MSFT,Microsoft Corporation - Common Stock,Q,N,N,98052,Technology,144000.0,Redmond,WA,United States,Software—Infrastructure,164.41574,0.010945492,31268514,181.81,180.74,31268514,2.04,9490933,1377911046144.0,53342561,180.39,182.3,190.7,29.259258,1.95,0.0112,1100.0,182.47,9.711,6.21,,15.086,47763253.0,0.98,7472191179.0,1346892726272.0,180.74,0.51
MSM,"MSC Industrial Direct Company, Inc. Common Stock",N,N,,11747,Industrials,6500.0,Melville,NY,United States,Industrial Distribution,66.525734,0.040839482,445542,70.52,71.15,445542,3.0,79218,3941754880.0,711714,70.19,70.91,79.87,17.347187,2.69,0.0433,1000.0,71.2227,1.224,4.09,,22.631,1484924.0,2.29,44732709.0,4063324416.0,71.15,0.75
MSN,Emerson Radio Corporation Common Stock,A,N,,07054,Technology,23.0,Parsippany,NJ,United States,Consumer Electronics,0.78808826,,18585,0.7271,0.74,18585,,833,15779920.0,12875,0.7287,0.7499,1.16,0.18425061,,,900.0,0.74,-1.799,4.07,,1.548,8183.0,0.69,5799355.0,-12112205.0,0.74,0.7
MSVB,"Mid-Southern Bancorp, Inc. - Common Stock",Q,N,N,47167,Financial Services,42.0,Salem,IN,United States,Banks—Regional,12.630397,0.006584362,17357,12.15,12.84,17357,0.08,305,44890308.0,6585,12.84,12.84,13.85,,,0.0066000004,1200.0,12.84,3.722,,,14.773,679.0,0.13,2367121.0,28117436.0,12.84,0.02
MTCH,"Match Group, Inc. - Common Stock",Q,N,N,75231,Communication Services,1700.0,Dallas,TX,United States,Internet Content & Information,74.254776,0.02326393,1285071,85.97,84.72,1285071,,488500,25000323072.0,2609262,84.4918,88.18,95.318,37.60043,,,800.0,88.44,11.296,2.34,,1.042,38271116.0,18.43,54643575.0,24075192320.0,84.72,2.0
MTG,MGIC Investment Corporation Common Stock,N,N,,53202,Financial Services,724.0,Milwaukee,WI,United States,Insurance—Specialty,11.100294,0.019210247,7589342,9.37,9.49,7589342,,2716381,3091116800.0,7387969,8.99,9.05,15.24,5.6708074,,,1200.0,9.5,2.346,1.61,,12.529,13492894.0,1.78,335364178.0,2883706880.0,9.49,0.06
MTGP,WisdomTree Mortgage Plus Bond Fund,P,Y,,,,,,,,,50.541992,,585,50.8,50.7995,585,,341,,4543,50.7995,50.86,51.83,,,,1800.0,50.7995,,,,,,,,,50.7995,0.093
MTR,Mesa Royalty Trust Common Stock,N,N,,77002,Energy,,Houston,TX,United States,Oil & Gas E&P,6.375,0.11783148,4671,6.80633,6.76,4671,0.28,579,12597869.0,6419,6.76,6.8,12.78,,10.23,0.041199997,800.0,6.76,7.024,,,1.314,7390.0,0.76,,10434188.0,6.76,0.023674
MTSC,MTS Systems Corporation - Common Stock,Q,N,N,55344,Technology,3500.0,Eden Prairie,MN,United States,Scientific & Technical Instruments,36.335884,0.06335797,284814,18.94,18.72,284814,,134440,375677152.0,283551,18.31,19.55,63.31,10.85,2.37,,800.0,19.63,1.038,1.8,,25.103,304055.0,1.28,19001649.0,906872512.0,18.72,0.3
MTT,Western Asset Municipal Defined Opportunity Trust Inc Common Stock,N,N,,10018,Financial Services,,New York,NY,United States,Asset Management,20.277132,,26600,19.25,19.27,26600,0.62,843,235955744.0,46500,19.34,19.38,22.5,,4.44,0.032,800.0,19.36,,,,,2045.0,0.04,,,19.27,0.059
MTUM,iShares Edge MSCI USA Momentum Factor ETF,Z,Y,,,,,,,,,121.67309,,1252314,123.68,123.9,1252314,,497802,,1467674,123.755,125.1,137.69,,,,900.0,125.24,,,,,,,,,123.9,0.445
MTX,Minerals Technologies Inc. Common Stock,N,N,,10017-6707,Basic Materials,3628.0,New York,NY,United States,Chemicals,48.070072,0.0037807182,207514,52.9,53.88,207514,0.2,24841,1792910976.0,239804,51.74,52.59,59.93,12.223255,0.33,0.004,800.0,52.79,1.287,4.3,,40.449,691654.0,3.41,33748412.0,2278439680.0,53.88,0.05
MTZ,"MasTec, Inc. Common Stock",N,N,,33134,Industrials,20000.0,Coral Gables,FL,United States,Engineering & Construction,49.955734,,834771,41.63,42.29,834771,,142406,3030113280.0,1424645,40.59,41.2,73.71,10.507672,,,800.0,42.37,0.594,3.91,,23.428,7846411.0,6.61,54986393.0,4203071488.0,42.29,0.2
MU,"Micron Technology, Inc. - Common Stock",Q,N,N,83716,Technology,37000.0,Boise,ID,United States,Semiconductors,49.447426,,23817800,49.45,48.7,23817800,,17946405,53184921600.0,30495398,47.085,48.13,61.19,9.9625,,,1300.0,48.725,2.668,4.8,,33.294,35783457.0,1.46,1109316566.0,52285976576.0,48.7,0.025
MUA,"Blackrock MuniAssets Fund, Inc Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,14.321985,0.048534937,53728,13.31,13.43,53728,0.63,44801,481964672.0,96358,13.31,13.37,16.34,,4.82,0.0475,800.0,13.44,19.012,,,14.379,74162.0,0.79,,546048256.0,13.43,0.0525
MUB,iShares National Muni Bond ETF,P,Y,,,,,,,,,113.627205,,922842,114.83,114.71,922842,,241856,,2272891,114.6804,114.82,118.15,,,,4000.0,114.83,,,,,,,,,114.71,0.22
MUC,"Blackrock MuniHoldings California Quality Fund, Inc.  Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,13.704118,0.04011843,68214,13.51,13.58,68214,0.55,82837,560914240.0,145974,13.535,13.69,14.69,,4.94,0.0417,1000.0,13.685,25.074,,,16.024,2593.0,0.02,,946360960.0,13.58,0.046
MUE,"Blackrock MuniHoldings Quality Fund II, Inc. Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,12.362647,0.045854058,45414,12.06,12.02,45414,0.53,9590,272726880.0,81717,12.02,12.15,13.25,,5.56,0.0437,800.0,12.1596,23.3,,,14.284,15247.0,0.24,,461609184.0,12.02,0.044
MUH,"Blackrock MuniHoldings Fund II, Inc. Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,14.574633,0.05221818,22028,13.75,13.88,22028,0.68,4581,156781024.0,41824,13.65,13.83,16.65,,5.68,0.0497,800.0,13.88,21.478,,,15.749,872.0,0.02,,269083520.0,13.88,0.0565
MUI,Blackrock Muni Intermediate Duration Fund Inc Common Stock,N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,13.916471,0.04,68500,13.35,13.39,68500,0.53,17535,512213024.0,141111,13.33,13.39,14.93,,4.64,0.0402,800.0,13.42,24.221,,,15.824,13030.0,0.13,,880046720.0,13.39,0.0445
MUJ,"Blackrock MuniHoldings New Jersey Quality Fund, Inc. Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,13.761618,0.04941452,40428,12.81,12.75,40428,0.65,18048,385668384.0,109270,12.75,12.79,14.92,,5.38,0.0511,1400.0,12.8044,22.01,,,16.306,999.0,0.01,,686665216.0,12.75,0.054
MUNI,PIMCO Intermediate Municipal Bond Active Exchange-Traded Fund,P,Y,,,,,,,,,54.9425,,33585,55.355,55.32,33585,,9163,,69469,55.32,55.33,56.75,,,,800.0,55.34,,,,,,,,,55.32,0.095
MUR,Murphy Oil Corporation Common Stock,N,N,,71730-7000,Energy,822.0,El Dorado,AR,United States,Oil & Gas E&P,17.531397,0.07633588,4113714,13.1,13.04,4113714,0.5,1030990,1967270144.0,6450229,12.62,12.88,28.12,-4.463415,4.48,0.0397,1000.0,13.05,1.924,-2.87,,31.816,25071122.0,3.52,144186575.0,5389132800.0,13.04,0.125
MUS,"Blackrock MuniHoldings Quality Fund, Inc Common Stock",N,N,,10055,Financial Services,,New York,NY,United States,Asset Management,12.26375,0.047248095,26600,11.81,11.86,26600,0.53,6604,154499888.0,47388,11.83,11.87,13.29,,5.62,0.0454,1100.0,11.8679,23.187,,,13.856,15835.0,0.43,,268962720.0,11.86,0.0445
MUST,Columbia Multi-Sector Municipal Income ETF,P,Y,,,,,,,,,21.47603,,7128,21.41,21.41,7128,,16718,,14761,21.3955,21.45,22.46,,,,900.0,21.44,,,,,,,,,21.41,0.041
MUTE,Direxion Daily Communication Services Index Bear 3X Shares,P,Y,,,,,,,,,12.526404,,6685,7.432,7.56,6685,,17280,,5993,7.5,7.44,23.09,,,,1100.0,7.59,,,,,,,,,7.56,0.008
MUX,McEwen Mining Inc. Common Stock,N,N,,M5H 1J9,Basic Materials,448.0,Toronto,ON,Canada,Other Precious Metals & Mining,1.0520073,0.0,5051414,0.8447,0.87,5051414,,4278189,373491264.0,4209425,0.87,0.9396,2.14,23.32,,,3200.0,0.94,3.153,0.04,,1.0,41909480.0,12.5,317892326.0,418812448.0,0.87,0.005
MVBF,MVB Financial Corp. - Common Stock,Q,N,N,26554,Financial Services,459.0,Fairmont,WV,United States,Banks—Regional,17.908897,0.016118633,16728,15.51,15.89,16728,0.36,2981,190001808.0,34577,15.5,15.98,26.995,14.454545,0.71,0.026099999,900.0,15.93,1.051,1.1,,17.084,38136.0,1.63,9397894.0,132102288.0,15.89,0.09
MVF,"Blackrock MuniVest Fund, Inc. Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,8.715515,0.052747257,104857,8.19,8.19,104857,0.4,33871,533467392.0,177625,8.185,8.23,9.6,,5.72,0.0495,1300.0,8.2279,21.549,,,10.134,36821.0,0.19,,867118656.0,8.19,0.0335
MVIN,Natixis ETF Trust ETF,P,Y,,,,,,,,,41.062572,,671,37.6307,37.965,671,,566,,3750,37.965,38.19,45.574,,,,1000.0,37.965,,,,,,,,,37.965,1.516
MVO,MV Oil Trust Units of Beneficial Interests,N,N,,77002,Energy,,Houston,TX,United States,Oil & Gas E&P,4.66125,0.2472973,29728,3.7,3.77,29728,0.92,8056,41776048.0,63108,3.6327,3.79,8.5,1.7464905,15.07,0.248,900.0,3.85,3.242,2.08,,1.04,21790.0,0.27,7641405.0,37607268.0,3.77,0.205
MVT,"Blackrock MuniVest Fund II, Inc.  Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,14.095441,0.054670747,43685,13.06,13.06,43685,0.67,6024,279766080.0,72950,13.06,13.15,15.72,,5.73,0.0512,800.0,13.15,20.511,,,15.224,4966.0,0.08,,459577856.0,13.06,0.0555
MVV,ProShares Ultra MidCap400,P,Y,,,,,,,,,34.783604,,151457,29.76,30.23,151457,,31703,,130079,29.5,29.83,47.08,,,,2200.0,30.0,,,,,,,,,30.23,0.068
MWA,MUELLER WATER PRODUCTS Common Stock,N,N,,30328,Industrials,3100.0,Atlanta,GA,United States,Specialty Industrial Machinery,10.459338,0.021904763,748528,9.45,9.64,748528,0.21,117992,1486906880.0,1151874,9.34,9.49,12.71,15.45082,1.37,0.0229,1300.0,9.67,1.753,0.61,,3.846,2450984.0,2.14,155600435.0,1773212672.0,9.64,0.053
MXDE,Nationwide Maximum Diversification Emerging Markets Core Equity ETF,P,Y,,,,,,,,,20.82755,,14,19.5305,19.66,14,,100,,259,19.66,19.72,23.691,,,,1000.0,19.66,,,,,,,,,19.66,0.301
MXDU,Nationwide Maximum Diversification U.S. Core Equity ETF,P,Y,,,,,,,,,29.339457,,100,29.9786,29.29,100,,5,,6233,29.9786,30.31,32.71,,,,900.0,29.9786,,,,,,,,,29.29,0.521
MXE,"Mexico Equity and Income Fund, Inc. (The) Common Stock",N,N,,11560,Financial Services,,Mexico,DF,Mexico,Asset Management,9.689412,0.015584416,2000,7.7,7.6727,2000,0.12,172,39680136.0,2316,7.6727,8.13,12.53,,,0.0162,1000.0,7.7,18.488,,,12.273,1568.0,0.18,,37716272.0,7.6727,0.12
MXF,"Mexico Fund, Inc. (The) Common Stock",N,N,,11560,Financial Services,,Mexico City,DF,Mexico,Asset Management,11.677721,0.10111223,31157,9.89,9.84,31157,0.72,2353,147250528.0,62267,9.7693,9.89,15.17,,7.02,0.0752,2200.0,9.8317,16.893,,,15.359,1247.0,0.02,,136847648.0,9.84,0.18
MXI,iShares Global Materials ETF,P,Y,,,,,,,,,60.013897,,23728,59.69,60.4,23728,,11149,,99956,60.12,60.48,68.05,,,,800.0,60.45,,,,,,,,,60.4,0.063
MXIM,"Maxim Integrated Products, Inc. - Common Stock",Q,N,N,95134,Technology,7131.0,San Jose,CA,United States,Semiconductors,56.457794,0.033350702,2335471,57.57,57.5,2335471,1.92,304250,15256282112.0,3053216,57.15,57.35,65.73,26.368664,3.06,0.0334,800.0,57.885,6.264,2.17,,6.054,5386770.0,1.57,264455051.0,13795986432.0,57.5,0.48
MYC,"Blackrock MuniYield California Fund, Inc. Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,13.788088,0.04028086,40571,13.53,13.65,40571,0.52,9970,291947776.0,60433,13.54,13.66,15.1,,5.06,0.0385,800.0,13.63,26.362,,,16.101,16549.0,0.3,,512429440.0,13.65,0.043
MYD,"Blackrock MuniYield Fund, Inc.  Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,13.877721,0.054192547,153128,12.88,12.92,153128,0.67,17742,606202496.0,191079,12.9037,12.95,15.45,,5.74,0.052600004,1200.0,12.96,20.522,,,14.891,12131.0,0.07,,979230208.0,12.92,0.056
MYE,"Myers Industries, Inc. Common Stock",N,N,,44301,Consumer Cyclical,1640.0,Akron,OH,United States,Packaging & Containers,14.194633,0.037215713,162457,14.51,14.86,162457,0.54,33886,521138304.0,194064,14.4,14.66,19.55,17.345238,3.36,0.0394,800.0,14.72,0.893,0.84,,4.928,518988.0,3.06,33596477.0,445653312.0,14.86,0.135
MYF,Blackrock MuniYield Investment Fund Common Stock,N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,13.647647,0.0542085,19157,12.95,13.04,19157,0.67,9903,178753760.0,41888,12.96,13.04,15.41,,5.96,0.052199997,1300.0,13.0344,20.911,,,14.877,2058.0,0.05,,291282112.0,13.04,0.056
MYGN,"Myriad Genetics, Inc. - Common Stock",Q,N,N,84108,Healthcare,2600.0,Salt Lake City,UT,United States,Diagnostics & Research,20.44022,,845885,14.59,14.68,845885,,231605,1098936320.0,1073591,14.46,14.74,48.4,21.362318,,,1100.0,14.81,1.581,0.69,,12.983,8753513.0,10.51,73317093.0,1202489728.0,14.68,1.75
MYI,"Blackrock MuniYield Quality Fund III, Inc Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,13.156985,0.044235297,94557,12.75,12.75,94557,0.53,31703,875055040.0,227611,12.75,12.84,14.5,,5.55,0.0424,800.0,12.84,23.839,,,15.392,56919.0,0.32,,1440305408.0,12.75,0.0445
MYJ,"Blackrock MuniYield New Jersey Fund, Inc Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,14.484706,0.054463618,33228,13.33,13.37,33228,0.73,20679,322510656.0,69738,13.3737,13.36,15.85,,5.59,0.0548,800.0,13.3737,21.55,,,16.401,3684.0,0.07,,566360256.0,13.37,0.0605
MYL,Mylan N.V. - Common Stock,Q,N,N,AL10 9UL,Healthcare,35000.0,Hatfield,,United Kingdom,Drug Manufacturers—Specialty & Generic,18.071177,,6354300,17.16,17.29,6354300,,1685598,8839742464.0,7960395,16.85,17.05,23.11,3.7336247,,,1800.0,17.49,1.833,4.58,,21.787,27660525.0,4.36,513589500.0,21307113472.0,17.29,0.06
MYN,"Blackrock MuniYield New York Quality Fund, Inc.Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,12.687867,0.04132901,49957,12.34,12.41,49957,0.51,9125,491269696.0,101011,12.365,12.41,13.62,,4.91,0.041500002,1300.0,12.42,24.638,,,14.762,19409.0,0.29,,830439104.0,12.41,0.0425
MYY,ProShares Short MidCap400,P,Y,,,,,,,,,43.854633,,32628,39.55,39.67,32628,,1837,,79779,39.48,39.56,64.04,,,,4000.0,39.705,,,,,,,,,39.67,0.015
MZA,"Blackrock MuniYield Arizona Fund, Inc. Common Stock",N,N,,19809,Financial Services,,Wilmington,DE,United States,Asset Management,13.457794,0.04184231,8842,12.81,12.9388,8842,0.55,51,59812396.0,9675,12.87,13.05,14.9,,4.61,0.0431,1000.0,13.05,23.542,,,15.193,6956.0,0.87,,99923880.0,12.9388,0.046
MZZ,ProShares UltraShort MidCap400,P,Y,,,,,,,,,16.490883,,43900,12.17,11.91,43900,,25037,,49779,11.91,12.2,34.17,,,,800.0,12.29,,,,,,,,,11.91,0.014
NAC,Nuveen California Quality Municipal Income Fund,N,N,,60606,Financial Services,,Chicago,IL,United States,Asset Management,14.456691,0.045842215,202785,14.07,14.1,202785,0.62,37998,2037145216.0,437506,14.0489,14.14,15.66,,5.43,0.0448,1000.0,14.145,22.67,,,16.709,47393.0,0.14,,3316907008.0,14.1,0.052
NACP,Impact Shares Trust I Impact Shares NAACP Minority Empowerment ETF,P,Y,,,,,,,,,22.122059,,342,22.3797,22.4,342,,5,,509,22.42,23.08,25.18,,,,1000.0,22.42,,,,,,,,,22.4,0.063
NAD,Nuveen Quality Municipal Income Fund Common Stock,N,N,,60606,Financial Services,,Chicago,IL,United States,Asset Management,14.166691,0.046827134,424357,13.71,13.77,424357,0.68,114291,2785723136.0,861695,13.7572,13.8,15.26,,,0.05,800.0,13.83,21.845,,,15.908,367116.0,0.05,,4589409792.0,13.77,0.057
